8/26/2019 - 22:0:42	PredictionError: $4.79
8/26/2019 - 22:26:46	PredictionError: $26.61
8/26/2019 - 22:34:47	PredictionError: $17.98
8/26/2019 - 22:34:51	PredictionError: $0.0
8/26/2019 - 22:42:53	PredictionError: $-11.42
8/26/2019 - 22:53:21	PredictionError: $64.15
8/26/2019 - 22:56:27	PredictionError: $-20.09
8/26/2019 - 22:57:22	PredictionError: $0.0
8/27/2019 - 6:46:29	PredictionError: $129.68
8/27/2019 - 17:46:51	PredictionError: $-9.33
8/27/2019 - 17:47:40	PredictionError: $0.0
8/27/2019 - 18:9:5	PredictionError: $-9.47
8/27/2019 - 18:30:32	PredictionError: $-25.26
8/27/2019 - 18:37:17	PredictionError: $6.03
8/27/2019 - 18:53:21	PredictionError: $32.25
8/27/2019 - 20:11:35	PredictionError: $-38.83
8/27/2019 - 20:18:4	PredictionError: $-5.3
8/28/2019 - 6:39:10	PredictionError: $38.61
8/28/2019 - 17:36:4	PredictionError: $429.96
8/28/2019 - 17:36:8	PredictionError: $0.0
8/28/2019 - 17:44:34	PredictionError: $-9.89
8/28/2019 - 17:49:9	PredictionError: $-8.69
8/28/2019 - 17:56:1	PredictionError: $-26.84
8/28/2019 - 18:53:3	PredictionError: $10.22
8/28/2019 - 19:9:27	PredictionError: $-10.26
8/28/2019 - 19:19:37	PredictionError: $-12.01
8/28/2019 - 19:32:37	PredictionError: $2.94
8/28/2019 - 19:49:55	PredictionError: $22.23
8/28/2019 - 19:50:0	PredictionError: $0.0
8/28/2019 - 20:49:20	PredictionError: $29.27
8/28/2019 - 20:49:25	PredictionError: $0.0
8/28/2019 - 20:49:29	PredictionError: $0.0
8/28/2019 - 20:57:31	PredictionError: $-3.9
8/28/2019 - 21:32:32	PredictionError: $-6.23
8/28/2019 - 21:36:19	PredictionError: $5.85
8/28/2019 - 21:36:24	PredictionError: $-0.1
8/28/2019 - 21:42:15	PredictionError: $2.69
8/28/2019 - 21:42:20	PredictionError: $0.0
8/28/2019 - 22:7:53	PredictionError: $-0.700000000001
8/28/2019 - 22:28:0	PredictionError: $-1.73
8/28/2019 - 22:28:17	PredictionError: $2.31
8/29/2019 - 6:21:32	PredictionError: $242.35
8/29/2019 - 6:27:11	PredictionError: $-16.08
8/29/2019 - 18:10:29	PredictionError: $-38.77
8/29/2019 - 18:10:37	PredictionError: $-0.269999999999
8/29/2019 - 18:10:59	PredictionError: $0.0
8/29/2019 - 18:18:43	PredictionError: $6.45
8/29/2019 - 18:18:49	PredictionError: $0.0
8/29/2019 - 18:21:15	PredictionError: $-5.3
8/29/2019 - 18:22:39	PredictionError: $0.619999999999
8/29/2019 - 19:3:59	PredictionError: $16.63
8/29/2019 - 19:6:13	PredictionError: $0.59
