8/24/2019 - 23:16:0	PredictionError: $-3.68
8/24/2019 - 23:33:13	PredictionError: $-16.83
8/25/2019 - 0:19:24	PredictionError: $12.74
8/25/2019 - 0:46:5	PredictionError: $26.48
8/25/2019 - 0:46:39	PredictionError: $-3.8
8/25/2019 - 1:48:36	PredictionError: $10.38
8/25/2019 - 1:54:12	PredictionError: $11.58
8/25/2019 - 1:55:3	PredictionError: $2.1
8/25/2019 - 2:6:4	PredictionError: $-1.99
8/25/2019 - 7:16:46	PredictionError: $-85.83
8/25/2019 - 7:24:40	PredictionError: $-5.11
8/25/2019 - 7:33:21	PredictionError: $-2.55
8/25/2019 - 7:37:51	PredictionError: $25.67
8/25/2019 - 7:42:9	PredictionError: $1.6
8/25/2019 - 7:48:42	PredictionError: $11.55
8/25/2019 - 7:55:30	PredictionError: $-13.43
8/25/2019 - 8:10:55	PredictionError: $0.209999999999
8/25/2019 - 8:23:37	PredictionError: $-22.11
8/25/2019 - 9:6:26	PredictionError: $-145.89
8/25/2019 - 9:9:0	PredictionError: $3.57
8/25/2019 - 9:11:10	PredictionError: $-0.730000000001
8/25/2019 - 9:23:12	PredictionError: $21.5
8/25/2019 - 9:41:7	PredictionError: $31.72
8/25/2019 - 9:41:41	PredictionError: $-4.31
8/25/2019 - 18:52:52	PredictionError: $200.89
8/25/2019 - 18:52:56	PredictionError: $0.0
8/25/2019 - 18:57:29	PredictionError: $-13.01
8/25/2019 - 19:8:8	PredictionError: $-45.47
8/25/2019 - 19:57:35	PredictionError: $-8.32
8/25/2019 - 20:4:33	PredictionError: $-50.71
8/25/2019 - 20:4:37	PredictionError: $0.0
8/25/2019 - 20:4:40	PredictionError: $0.0
8/25/2019 - 20:5:52	PredictionError: $5.19
8/25/2019 - 20:7:41	PredictionError: $-26.19
8/25/2019 - 20:8:22	PredictionError: $0.0
8/25/2019 - 20:10:8	PredictionError: $7.61
8/25/2019 - 20:11:3	PredictionError: $-9.83
8/25/2019 - 20:17:50	PredictionError: $-259.13
8/25/2019 - 20:19:22	PredictionError: $-52.29
8/25/2019 - 20:20:20	PredictionError: $-39.94
8/25/2019 - 20:21:42	PredictionError: $-62.64
8/25/2019 - 20:23:35	PredictionError: $26.05
8/25/2019 - 20:24:2	PredictionError: $0.0
8/25/2019 - 20:25:31	PredictionError: $28.36
8/25/2019 - 20:26:21	PredictionError: $0.0
8/25/2019 - 20:26:38	PredictionError: $18.61
8/25/2019 - 20:26:47	PredictionError: $0.0
8/25/2019 - 20:28:8	PredictionError: $-11.78
8/25/2019 - 20:31:43	PredictionError: $-32.38
8/25/2019 - 20:32:27	PredictionError: $-14.31
8/25/2019 - 20:32:54	PredictionError: $0.0
8/25/2019 - 20:41:7	PredictionError: $27.88
8/25/2019 - 20:41:52	PredictionError: $16.03
8/25/2019 - 20:44:50	PredictionError: $-13.23
8/25/2019 - 20:47:33	PredictionError: $9.55
8/25/2019 - 20:49:19	PredictionError: $14.54
8/25/2019 - 20:50:39	PredictionError: $5.68
8/25/2019 - 20:52:52	PredictionError: $12.22
8/25/2019 - 20:56:26	PredictionError: $-6.22
8/25/2019 - 20:57:8	PredictionError: $-1.41
