0.025126x + 11292.81=11518.453628961923	 5969 Points (+/- -53.84464596058024)	[8/11/2019 - 21:32:18]
0.025152x + 11292.81=11520.588518099059	 5972 Points (+/- -52.06443029802722)	[8/11/2019 - 21:33:0]
0.025193x + 11292.81=11524.910761033158	 5977 Points (+/- -48.30660685521798)	[8/11/2019 - 21:34:17]
0.025209x + 11292.81=11525.251089762609	 5979 Points (+/- -48.191652616935244)	[8/11/2019 - 21:34:41]
0.025217x + 11292.81=11525.421082050105	 5980 Points (+/- -48.1342291056535)	[8/11/2019 - 21:35:6]
0.025233x + 11292.81=11527.437213239822	 5982 Points (+/- -46.340612256291934)	[8/11/2019 - 21:35:30]
0.025241x + 11292.81=11527.60335447317	 5983 Points (+/- -46.284418208990246)	[8/11/2019 - 21:35:54]
0.025256x + 11292.81=11527.935300463589	 5985 Points (+/- -46.172134995020315)	[8/11/2019 - 21:36:18]
0.025271x + 11292.81=11531.015277876839	 5987 Points (+/- -43.30367805595961)	[8/11/2019 - 21:36:43]
0.025278x + 11292.81=11531.175104076932	 5988 Points (+/- -43.24950028292005)	[8/11/2019 - 21:37:7]
0.025293x + 11292.81=11530.716059183611	 5990 Points (+/- -43.92072526820448)	[8/11/2019 - 21:37:31]
0.025300x + 11292.81=11530.877187254053	 5991 Points (+/- -43.86612828120269)	[8/11/2019 - 21:37:55]
0.025314x + 11292.81=11531.408678626532	 5993 Points (+/- -43.54717639381306)	[8/11/2019 - 21:38:19]
0.025322x + 11292.81=11531.569042361674	 5994 Points (+/- -43.492821361811366)	[8/11/2019 - 21:38:44]
0.025336x + 11292.81=11531.889444510805	 5996 Points (+/- -43.384212786848366)	[8/11/2019 - 21:39:8]
0.025350x + 11292.81=11532.89653859662	 5998 Points (+/- -42.586659327069356)	[8/11/2019 - 21:39:32]
0.025358x + 11292.81=11533.05492470962	 5999 Points (+/- -42.53293281547121)	[8/11/2019 - 21:39:56]
0.025371x + 11292.81=11536.02583610286	 6001 Points (+/- -39.76735270101926)	[8/11/2019 - 21:40:21]
0.025378x + 11292.81=11536.178364940302	 6002 Points (+/- -39.71549801573565)	[8/11/2019 - 21:40:45]
0.025391x + 11292.81=11536.483112062908	 6004 Points (+/- -39.611885641599656)	[8/11/2019 - 21:41:9]
0.025404x + 11292.81=11538.284324526898	 6006 Points (+/- -38.00940118978906)	[8/11/2019 - 21:41:33]
0.025410x + 11292.81=11538.433217229802	 6007 Points (+/- -37.95870613777697)	[8/11/2019 - 21:41:58]
0.025421x + 11292.81=11549.408446182844	 6009 Points (+/- -27.164531803515274)	[8/11/2019 - 21:42:22]
0.025426x + 11292.81=11549.534796208914	 6010 Points (+/- 60.404796208915286)	[8/11/2019 - 21:42:46]
0.025435x + 11292.81=11549.787234123623	 6012 Points (+/- 60.65723412362422)	[8/11/2019 - 21:43:10]
0.025442x + 11292.81=11553.923117043996	 6014 Points (+/- 68.69311704399661)	[8/11/2019 - 21:43:35]
0.025446x + 11292.81=11554.040935200992	 6015 Points (+/- 68.81093520099239)	[8/11/2019 - 21:43:59]
0.025454x + 11292.81=11553.59773753736	 6017 Points (+/- 67.68773753736059)	[8/11/2019 - 21:44:23]
0.025458x + 11292.81=11553.716720977907	 6018 Points (+/- 67.80672097790739)	[8/11/2019 - 21:44:47]
0.025466x + 11292.81=11553.954439537181	 6020 Points (+/- 68.04443953718146)	[8/11/2019 - 21:45:12]
0.025469x + 11292.81=11554.69188793618	 6021 Points (+/- 69.40188793617926)	[8/11/2019 - 21:45:36]
0.025477x + 11292.81=11554.92653933516	 6023 Points (+/- 69.63653933515889)	[8/11/2019 - 21:46:0]
0.025484x + 11292.81=11556.867317102344	 6025 Points (+/- 73.28731710234388)	[8/11/2019 - 21:46:24]
0.025488x + 11292.81=11556.9808123387	 6026 Points (+/- 73.40081233869932)	[8/11/2019 - 21:46:49]
0.025494x + 11292.81=11557.207564832172	 6028 Points (+/- 73.62756483217163)	[8/11/2019 - 21:47:13]
0.025498x + 11292.81=11558.66802392494	 6029 Points (+/- 76.43802392494035)	[8/11/2019 - 21:47:37]
0.025504x + 11292.81=11558.888709793751	 6031 Points (+/- 76.65870979375177)	[8/11/2019 - 21:48:1]
0.025510x + 11292.81=11561.08498486836	 6033 Points (+/- 80.83498486835924)	[8/11/2019 - 21:48:25]
0.025513x + 11292.81=11561.190958326742	 6034 Points (+/- 80.94095832674248)	[8/11/2019 - 21:48:50]
0.025519x + 11292.81=11561.402681302963	 6036 Points (+/- 81.15268130296317)	[8/11/2019 - 21:49:14]
0.025521x + 11292.81=11562.975387949899	 6037 Points (+/- 84.19538794989785)	[8/11/2019 - 21:49:38]
0.025526x + 11292.81=11563.180583375006	 6039 Points (+/- 84.40058337500523)	[8/11/2019 - 21:50:2]
0.025531x + 11292.81=11564.44110366991	 6041 Points (+/- 86.72110366991001)	[8/11/2019 - 21:50:27]
0.025533x + 11292.81=11564.541257161656	 6042 Points (+/- 86.82125716165683)	[8/11/2019 - 21:50:51]
0.025538x + 11292.81=11564.741351104229	 6044 Points (+/- 87.02135110422932)	[8/11/2019 - 21:51:15]
0.025540x + 11292.81=11567.735296439376	 6045 Points (+/- 92.9152964393761)	[8/11/2019 - 21:51:39]
0.025544x + 11292.81=11567.922985497444	 6047 Points (+/- 93.10298549744402)	[8/11/2019 - 21:52:4]
0.025548x + 11292.81=11567.761129163951	 6049 Points (+/- 92.59112916395134)	[8/11/2019 - 21:52:28]
0.025550x + 11292.81=11567.855461548952	 6050 Points (+/- 92.68546154895193)	[8/11/2019 - 21:52:52]
0.025553x + 11292.81=11568.033944805535	 6052 Points (+/- 92.85394480553441)	[8/11/2019 - 21:53:16]
0.025555x + 11292.81=11568.128095767252	 6053 Points (+/- 92.94809576725129)	[8/11/2019 - 21:53:41]
0.025559x + 11292.81=11568.316195952124	 6055 Points (+/- 93.13619595212367)	[8/11/2019 - 21:54:5]
0.025561x + 11292.81=11569.777318194458	 6056 Points (+/- 95.96731819445813)	[8/11/2019 - 21:54:29]
0.025564x + 11292.81=11569.959366551871	 6058 Points (+/- 96.14936655187194)	[8/11/2019 - 21:54:53]
0.025565x + 11292.81=11584.701066201702	 6060 Points (+/- 125.48106620170256)	[8/11/2019 - 21:55:18]
0.025564x + 11292.81=11584.761792708401	 6061 Points (+/- 125.54179270840177)	[8/11/2019 - 21:55:42]
0.025563x + 11292.81=11584.883105082741	 6063 Points (+/- 125.66310508274182)	[8/11/2019 - 21:56:6]
